sequence_name	split
01_AE.CM.05.234_40.MN116209	crf_bank
01_AE.CM.06.1002_28.MN116212	crf_bank
01_AE.CM.11.1156_26.KP718930	crf_bank
01_AE.CN.02.YN0221.JX112861	crf_bank
01_AE.CN.02.YN0229.JX112863	crf_bank
01_AE.CN.02.YN0236.JX112866	crf_bank
01_AE.CN.05.05GX001.GU564221	crf_bank
01_AE.CN.05.05GX002.GU564222	crf_bank
01_AE.CN.05.05GX013.GU564224	crf_bank
01_AE.CN.05.05GX034.GQ845124	crf_bank
01_AE.CN.05.05GX079.GQ845125	crf_bank
01_AE.CN.05.05GX128.GQ845126	crf_bank
01_AE.CN.05.05GX142.GU564227	crf_bank
01_AE.CN.05.05GX162.GU564229	crf_bank
01_AE.CN.05.05GXD004.MW079292	crf_bank
01_AE.CN.05.05GXD005.MW079293	crf_bank
01_AE.CN.05.05GXD008.MW079294	crf_bank
01_AE.CN.05.05GXD010.MW079295	crf_bank
01_AE.CN.05.05GXD015.MW079296	crf_bank
01_AE.CN.05.05GXD020.MW079297	crf_bank
01_AE.CN.05.05GXD033.MW079300	crf_bank
01_AE.CN.05.05GXD078.MW079302	crf_bank
01_AE.CN.05.05GXD083.MW079304	crf_bank
01_AE.CN.05.FJ051.DQ859178	crf_bank
01_AE.CN.05.FJ053.DQ859179	crf_bank
01_AE.CN.05.Fj052.EF036528	crf_bank
01_AE.CN.05.Fj055.EF036527	crf_bank
01_AE.CN.05.Fj056.EF036529	crf_bank
01_AE.CN.05.Fj057.EF036530	crf_bank
01_AE.CN.05.Fj065.EF036534	crf_bank
01_AE.CN.05.Fj066.EF036535	crf_bank
01_AE.CN.06.06GX239.GU564230	crf_bank
01_AE.CN.06.06GXD217.MW079305	crf_bank
01_AE.CN.06.06GXD242.MW079306	crf_bank
01_AE.CN.06.FJ054.DQ859180	crf_bank
01_AE.CN.06.Fj062.EF036531	crf_bank
01_AE.CN.06.Fj063.EF036532	crf_bank
01_AE.CN.06.Fj064.EF036533	crf_bank
01_AE.CN.07.07CNYN312.KF835499	crf_bank
01_AE.CN.07.07CNYN315.KF835502	crf_bank
01_AE.CN.07.07CNYN316.KF835503	crf_bank
01_AE.CN.07.07CNYN317.KF835504	crf_bank
01_AE.CN.07.07CNYN318.KF835505	crf_bank
01_AE.CN.07.07CNYN326.KF835513	crf_bank
01_AE.CN.07.07CNYN327.KF835514	crf_bank
01_AE.CN.07.07CNYN329.KF835516	crf_bank
01_AE.CN.07.07CNYN332.KF835518	crf_bank
01_AE.CN.07.07CNYN333.KF835519	crf_bank
01_AE.CN.07.07CNYN337.KF835523	crf_bank
01_AE.CN.07.07CNYN342.KF835527	crf_bank
01_AE.CN.07.07CNYN343.KF835528	crf_bank
01_AE.CN.07.07CNYN354.KF835533	crf_bank
01_AE.CN.07.07CNYN357.KF835536	crf_bank
01_AE.CN.07.07CNYN359.KF835538	crf_bank
01_AE.CN.07.07CNYN364.KF835542	crf_bank
01_AE.CN.07.07CNYN366.KF835543	crf_bank
01_AE.CN.07.07JSWX045.FJ441290	crf_bank
01_AE.CN.07.FJ070010.JX112809	crf_bank
01_AE.CN.07.FJ070013.JX112810	crf_bank
01_AE.CN.07.FJ070017.JX112811	crf_bank
01_AE.CN.07.FJ070033.JX112813	crf_bank
01_AE.CN.07.FJ070035.JX112814	crf_bank
01_AE.CN.07.FJ070040.JX112817	crf_bank
01_AE.CN.07.FJ070043.JX112818	crf_bank
01_AE.CN.07.GD070010.JX112819	crf_bank
01_AE.CN.07.GD070058.JX112820	crf_bank
01_AE.CN.07.GD070059.JX112821	crf_bank
01_AE.CN.07.GD070090.JX112823	crf_bank
01_AE.CN.07.GD070092.JX112824	crf_bank
01_AE.CN.07.GD070096.JX112825	crf_bank
01_AE.CN.07.GD070118.JX112826	crf_bank
01_AE.CN.07.GD070120.JX112827	crf_bank
01_AE.CN.07.GX070003.JX112829	crf_bank
01_AE.CN.07.GX070005.JX112830	crf_bank
01_AE.CN.07.GX070006.JX112831	crf_bank
01_AE.CN.07.GX070043.JX112832	crf_bank
01_AE.CN.07.GX070044.JX112833	crf_bank
01_AE.CN.07.GX070076.JX112834	crf_bank
01_AE.CN.07.GX070143.JX112835	crf_bank
01_AE.CN.07.GX070145.JX112836	crf_bank
01_AE.CN.07.GX070149.JX112837	crf_bank
01_AE.CN.07.GX070154.JX112838	crf_bank
01_AE.CN.07.GX070167.JX112839	crf_bank
01_AE.CN.07.GZ070004.JX112840	crf_bank
01_AE.CN.07.GZ070123.JX112843	crf_bank
01_AE.CN.07.GZ070126.JX112844	crf_bank
01_AE.CN.07.GZ070127.JX112845	crf_bank
01_AE.CN.07.JS070901.JX112850	crf_bank
01_AE.CN.07.JS071001.JX112851	crf_bank
01_AE.CN.07.JS071101.JX112853	crf_bank
01_AE.CN.07.LN070008.JX112854	crf_bank
01_AE.CN.07.LN070013.JX112856	crf_bank
01_AE.CN.08.08LNA002.JX960612	crf_bank
01_AE.CN.08.08LNA003.JX960606	crf_bank
01_AE.CN.09.09LNA005.JX960630	crf_bank
01_AE.CN.09.09LNA007.JX960627	crf_bank
01_AE.CN.09.09LNA013.JX960623	crf_bank
01_AE.CN.09.09LNA025.JX960634	crf_bank
01_AE.CN.09.09LNA040.JX960615	crf_bank
01_AE.CN.09.09LNA136.JX960631	crf_bank
01_AE.CN.09.09LNA340.JX960607	crf_bank
01_AE.CN.09.09LNA353.JX960628	crf_bank
01_AE.CN.09.09LNA379.JX960603	crf_bank
01_AE.CN.09.10LNA016.JX960629	crf_bank
01_AE.CN.09.10LNA105.JX960626	crf_bank
01_AE.CN.09.1109.HQ215555	crf_bank
01_AE.CN.09.1119.HQ215553	crf_bank
01_AE.CN.09.YN09P0011.JX112867	crf_bank
01_AE.CN.09.YN09P0015.JX112868	crf_bank
01_AE.CN.09.ZK056.JX112870	crf_bank
01_AE.CN.10.10LNA057.JX960633	crf_bank
01_AE.CN.10.10LNA103.JX960608	crf_bank
01_AE.CN.10.10LNA124.JX960609	crf_bank
01_AE.CN.10.10LNA571.JX960611	crf_bank
01_AE.CN.10.10LNA821.JX960616	crf_bank
01_AE.CN.10.10LNA976.JX960632	crf_bank
01_AE.CN.10.CYM059.JX112796	crf_bank
01_AE.CN.10.CYM075.JX112797	crf_bank
01_AE.CN.10.CYM105.JX112798	crf_bank
01_AE.CN.10.CYM124.JX112799	crf_bank
01_AE.CN.10.CYM136.JX112800	crf_bank
01_AE.CN.10.CYM138.JX112801	crf_bank
01_AE.CN.10.CYM140.JX112803	crf_bank
01_AE.CN.10.CYM143.JX112804	crf_bank
01_AE.CN.10.CYM147.JX112805	crf_bank
01_AE.CN.10.CYM152.JX112807	crf_bank
01_AE.CN.10.CYM154.JX112808	crf_bank
01_AE.CN.10.DE00110CN007.KP109506	crf_bank
01_AE.CN.10.DE00110CN009.KP109507	crf_bank
01_AE.CN.10.JL100005.JX112846	crf_bank
01_AE.CN.10.JL100020.JX112849	crf_bank
01_AE.CN.10.YNFL03.KC870029	crf_bank
01_AE.CN.10.YNFL20.KC870039	crf_bank
01_AE.CN.10.YNFL23.KC870041	crf_bank
01_AE.CN.12.DE00112CN011.KP109508	crf_bank
01_AE.CN.16.16YN666.MT624757	crf_bank
01_AE.CN.17.nj135.MT347590	crf_bank
01_AE.CN.18.A18123.MZ359100	crf_bank
01_AE.CN.18.JX_GZ_42_M_SH_4.MT611503	crf_bank
01_AE.CN.19.171.ON959789	crf_bank
01_AE.GB.13.13592_1_16.3.MF109358	crf_bank
01_AE.GB.13.13774_1_46.3.MF109471	crf_bank
01_AE.GB.14.13612_1_24.3.MF109407	crf_bank
01_AE.GB.14.14727_1_55.3.MF109618	crf_bank
01_AE.GB.14.14727_1_60.3.MF109621	crf_bank
01_AE.HK.04.HK001.DQ234790	crf_bank
01_AE.IR.10.10IR.THR48F.AB703616	crf_bank
01_AE.JP.11.DE00111JP003.KF859741	crf_bank
01_AE.LA.11.VI12F4094.MG760382	crf_bank
01_AE.LA.11.VI20F3001.MG760384	crf_bank
01_AE.LA.11.VI22F3810.MG760389	crf_bank
01_AE.LA.11.VI22F3899.MG760390	crf_bank
01_AE.LA.11.VI25F3297.MG760391	crf_bank
01_AE.LA.11.VI26F2939.MG760395	crf_bank
01_AE.LA.11.VI27F3026.MG760396	crf_bank
01_AE.LA.11.VI28F3940.MG760397	crf_bank
01_AE.LA.11.VI29F2980.MG760398	crf_bank
01_AE.LA.11.VI29M3024.MG760400	crf_bank
01_AE.LA.11.VI30F2999.MG760402	crf_bank
01_AE.LA.11.VI32M3901.MG760404	crf_bank
01_AE.LA.11.VI33F3831.MG760405	crf_bank
01_AE.LA.11.VI33M2961.MG760406	crf_bank
01_AE.LA.11.VI35F2871.MG760408	crf_bank
01_AE.LA.11.VI36F3920.MG760409	crf_bank
01_AE.LA.11.VI36M3284.MG760410	crf_bank
01_AE.LA.11.VI37F3781.MG760412	crf_bank
01_AE.LA.11.VI38F3375.MG760413	crf_bank
01_AE.LA.11.VI38M3097.MG760414	crf_bank
01_AE.LA.11.VI38M3815.MG760415	crf_bank
01_AE.LA.11.VI39F3163.MG760416	crf_bank
01_AE.LA.11.VI41M3868.MG760417	crf_bank
01_AE.LA.11.VI43F3290.MG760419	crf_bank
01_AE.LA.11.VI44M3784.MG760420	crf_bank
01_AE.LA.11.VI45M3233.MG760421	crf_bank
01_AE.LA.11.VI47M3234.MG760422	crf_bank
01_AE.LA.11.VI48M3407.MG760423	crf_bank
01_AE.LA.11.VI50F3912.MG760424	crf_bank
01_AE.LA.11.VI50M3793.MG760425	crf_bank
01_AE.LA.11.VI52F3913.MG760426	crf_bank
01_AE.LA.11.VI60M3235.MG760428	crf_bank
01_AE.LA.11.VI80M3893.MG760429	crf_bank
01_AE.LA.12.BL12F4561.MG760371	crf_bank
01_AE.LA.12.BL33M4535.MG760372	crf_bank
01_AE.LA.12.BL33M5227.MG760373	crf_bank
01_AE.LA.12.BL38F5131.MG760374	crf_bank
01_AE.LA.12.BL38F5143.MG760375	crf_bank
01_AE.LA.12.BL38M5270.MG760376	crf_bank
01_AE.LA.12.BL40F5333.MG760377	crf_bank
01_AE.LA.12.BL41F5229.MG760378	crf_bank
01_AE.LA.12.KH19F5101.MG760381	crf_bank
01_AE.LA.12.VI15M4478.MG760383	crf_bank
01_AE.LA.12.VI21M5276.MG760388	crf_bank
01_AE.LA.12.VI25F4363.MG760393	crf_bank
01_AE.LA.12.VI29M9897.MG760401	crf_bank
01_AE.LA.12.XA50F5221.MG760430	crf_bank
01_AE.LA.12.XI38F4856.MG760431	crf_bank
01_AE.MM.14.fKSDU26.KU820849	crf_bank
01_AE.PH.15.1008.MH327750	crf_bank
01_AE.PH.15.DE00115PH006.MH078560	crf_bank
01_AE.PH.15.DE00115PH012.KY658688	crf_bank
01_AE.PH.16.1010.MH327752	crf_bank
01_AE.PH.16.1024.MH327759	crf_bank
01_AE.PH.16.1025.MH327760	crf_bank
01_AE.PH.16.1027.MH327762	crf_bank
01_AE.PH.16.1029.MH327764	crf_bank
01_AE.PH.16.1031.MH327766	crf_bank
01_AE.PH.16.DE00116PH013.MH078562	crf_bank
01_AE.PH.17.1021.MH327756	crf_bank
01_AE.PH.17.1026.MH327761	crf_bank
01_AE.PH.17.1028.MH327763	crf_bank
01_AE.SE.11.057SE.MF373160	crf_bank
01_AE.SE.11.SE601017.KP411840	crf_bank
01_AE.SE.11.SE601018.KP411841	crf_bank
01_AE.SE.11.SE601021.KP411842	crf_bank
01_AE.SE.12.069SE.MF373172	crf_bank
01_AE.SE.12.070SE.MF373173	crf_bank
01_AE.SI.12.Sample39_SI326.MN736703	crf_bank
01_AE.TH.00.00TH_C2101.AY945716	crf_bank
01_AE.TH.00.00TH_C2257.AY945717	crf_bank
01_AE.TH.00.00TH_C3347.AY945721	crf_bank
01_AE.TH.00.00TH_C4118.AY945722	crf_bank
01_AE.TH.00.00TH_C4151.AY945724	crf_bank
01_AE.TH.00.C1705.DQ789392	crf_bank
01_AE.TH.00.OUR595I.AY358052	crf_bank
01_AE.TH.00.OUR661I.AY358057	crf_bank
01_AE.TH.00.OUR721I.AY358067	crf_bank
01_AE.TH.00.OUR724I.AY358060	crf_bank
01_AE.TH.00.OUR746I.AY358061	crf_bank
01_AE.TH.00.OUR810I.AY358063	crf_bank
01_AE.TH.01.01TH_C1436.AY945713	crf_bank
01_AE.TH.01.01TH_C2570.AY945719	crf_bank
01_AE.TH.01.01TH_C3256.AY945720	crf_bank
01_AE.TH.01.01TH_R2184.AY945730	crf_bank
01_AE.TH.01.LA09DuCe.KU168264	crf_bank
01_AE.TH.01.OUR414I.AY358050	crf_bank
01_AE.TH.01.OUR609I.AY358040	crf_bank
01_AE.TH.01.OUR642I.AY358041	crf_bank
01_AE.TH.01.OUR647I.AY358056	crf_bank
01_AE.TH.01.OUR702I.AY358059	crf_bank
01_AE.TH.01.OUR786I.AY358036	crf_bank
01_AE.TH.01.OUR788I.AY358068	crf_bank
01_AE.TH.01.OUR830I.AY358064	crf_bank
01_AE.TH.02.OUR769I.AY358062	crf_bank
01_AE.TH.03.TH7229.KU168309	crf_bank
01_AE.TH.04.04TH107542.JN248318	crf_bank
01_AE.TH.04.04TH328531.JN248324	crf_bank
01_AE.TH.04.04TH427990.JN248327	crf_bank
01_AE.TH.04.04TH505841.JN248328	crf_bank
01_AE.TH.04.04TH613543.JN248330	crf_bank
01_AE.TH.04.04TH807015.JN248334	crf_bank
01_AE.TH.04.04TH817196.JN248336	crf_bank
01_AE.TH.04.AA027a_wg4.JX447021	crf_bank
01_AE.TH.04.AA075a_WG7.JX447542	crf_bank
01_AE.TH.04.BKM.DQ314732	crf_bank
01_AE.TH.05.05TH130087.JN248339	crf_bank
01_AE.TH.05.05TH327568.JN248341	crf_bank
01_AE.TH.05.05TH342968.JN248342	crf_bank
01_AE.TH.05.05TH741452.JN248355	crf_bank
01_AE.TH.05.05TH841749.JN248356	crf_bank
01_AE.TH.05.AA004a_wg4a.JX446712	crf_bank
01_AE.TH.05.AA033a_wg6a.JX447081	crf_bank
01_AE.TH.05.AA049a_WG13.JX447268	crf_bank
01_AE.TH.05.AA064a_WG2.JX447413	crf_bank
01_AE.TH.05.AA081a14.JX447619	crf_bank
01_AE.TH.05.AA101a_WG1.JX447936	crf_bank
01_AE.TH.05.AA107a_wg4.JX448022	crf_bank
01_AE.TH.06.AA006a02.JX446736	crf_bank
01_AE.TH.06.AA014a01.JX446855	crf_bank
01_AE.TH.06.AA017a_wg1.JX446899	crf_bank
01_AE.TH.06.AA034a_wg2.JX447089	crf_bank
01_AE.TH.06.AA038a_WG3.JX447132	crf_bank
01_AE.TH.06.AA055a_WG4.JX447312	crf_bank
01_AE.TH.06.AA056a_WG5.JX447316	crf_bank
01_AE.TH.06.AA059a_WG5.JX447356	crf_bank
01_AE.TH.06.AA063a_WG37.JX447409	crf_bank
01_AE.TH.06.AA068a_14.JX447465	crf_bank
01_AE.TH.06.AA085a_wg2.JX447682	crf_bank
01_AE.TH.06.AA088a_wg14.JX447712	crf_bank
01_AE.TH.07.AA015a_WG4.JX446877	crf_bank
01_AE.TH.07.AA019a_WG11.JX446918	crf_bank
01_AE.TH.07.AA028a_wg3.JX447028	crf_bank
01_AE.TH.07.AA030a04.JX447057	crf_bank
01_AE.TH.07.AA031a02.JX447064	crf_bank
01_AE.TH.07.AA050a_WG7.JX447283	crf_bank
01_AE.TH.07.AA072a03.JX447503	crf_bank
01_AE.TH.07.AA089a05.JX447721	crf_bank
01_AE.TH.07.MERLBDTRC2.JN860761	crf_bank
01_AE.TH.07.MERLBDTRC4.JN860763	crf_bank
01_AE.TH.07.MERLBDTRC5.JN860764	crf_bank
01_AE.TH.07.MERLBDTRC7.JN860766	crf_bank
01_AE.TH.07.MERLBDTRC8.JN860767	crf_bank
01_AE.TH.08.AA007a_WG10.JX446756	crf_bank
01_AE.TH.08.AA013a04.JX446850	crf_bank
01_AE.TH.08.AA032a04.JX447074	crf_bank
01_AE.TH.08.AA037a_WG6.JX447127	crf_bank
01_AE.TH.08.AA052a08.JX447303	crf_bank
01_AE.TH.08.AA054a06.JX447308	crf_bank
01_AE.TH.08.AA060a_WG1.JX447359	crf_bank
01_AE.TH.08.AA067a_WG12.JX447458	crf_bank
01_AE.TH.08.AA108a_WG6.JX448028	crf_bank
01_AE.TH.08.MERLBDTRC9.JN860768	crf_bank
01_AE.TH.09.40061v05_02.KY580553	crf_bank
01_AE.TH.09.AA090a_WG11.JX447727	crf_bank
01_AE.TH.09.AA111a_WG11.JX448059	crf_bank
01_AE.TH.09.A_PreART_30.ON903126	crf_bank
01_AE.TH.10.2543625P000FL_Sc.MG989497	crf_bank
01_AE.TH.10.2543733P000FL_Sb.MG989499	crf_bank
01_AE.TH.10.2543789P000FL_Sc.MG989500	crf_bank
01_AE.TH.10.2543832P000FL_Si.MG989502	crf_bank
01_AE.TH.10.2545113P000FL_Sb.MG989515	crf_bank
01_AE.TH.10.2545436P000FL_Sa.MG989521	crf_bank
01_AE.TH.10.2546609P000FL_Sa.MG989530	crf_bank
01_AE.TH.10.2548950P000FL_Sa.MG989559	crf_bank
01_AE.TH.10.2549133P000FL_Sc.MG989562	crf_bank
01_AE.TH.10.2549583P000FL_Sj.MG989566	crf_bank
01_AE.TH.10.2549844P000FL_Sc.MG989569	crf_bank
01_AE.TH.10.40007v09_02.MN792014	crf_bank
01_AE.TH.10.40094v09_03.MN792055	crf_bank
01_AE.TH.10.40123v03_01.MN792117	crf_bank
01_AE.TH.10.40242v01_FL.ON959743	crf_bank
01_AE.TH.10.40250v09_01.MN792281	crf_bank
01_AE.TH.10.40257v09_03.MN792331	crf_bank
01_AE.TH.10.40265v14_01.KY580673	crf_bank
01_AE.TH.10.DE00110TH001.KP109513	crf_bank
01_AE.TH.11.2543513P000FL_Sj.MG989495	crf_bank
01_AE.TH.11.2544022P000FL_Sg.MG989504	crf_bank
01_AE.TH.11.2544574P000FL_Sa.MG989510	crf_bank
01_AE.TH.11.2545349P000FL_Sa.MG989516	crf_bank
01_AE.TH.11.2546154P000FL_Sb.MG989525	crf_bank
01_AE.TH.11.2546340P000FL_Sg.MG989527	crf_bank
01_AE.TH.11.2547905P000FL_Sb.MG989542	crf_bank
01_AE.TH.11.2548178P000FL_Sa.MG989544	crf_bank
01_AE.TH.11.2549114P000FL_Sa.MG989561	crf_bank
01_AE.TH.11.2549533P000FL_Sj.MG989565	crf_bank
01_AE.TH.11.40139v0J_03.MW443197	crf_bank
01_AE.TH.11.40231v09_02.OM826188	crf_bank
01_AE.TH.11.40363v03_01.MN792425	crf_bank
01_AE.TH.11.40436v09_04.KY580697	crf_bank
01_AE.TH.11.40512v02_03.MK116905	crf_bank
01_AE.TH.11.40577v01_01.MN792550	crf_bank
01_AE.TH.12.2543193P000FL_Sc.MG989492	crf_bank
01_AE.TH.12.2543669P000FL_Sa.MG989498	crf_bank
01_AE.TH.12.2544477P000FL_Sa.MG989509	crf_bank
01_AE.TH.12.2545382P000FL_Sa.MG989518	crf_bank
01_AE.TH.12.2545864P000FL_Sa.MG989523	crf_bank
01_AE.TH.12.2546897P000FL_Sa.MG989531	crf_bank
01_AE.TH.12.40435v01_02.OM826328	crf_bank
01_AE.TH.12.40491v01_01.OM826397	crf_bank
01_AE.TH.12.40492v01_07.OM826423	crf_bank
01_AE.TH.12.40511v01_02.MN792470	crf_bank
01_AE.TH.12.B_PreART_07.ON862984	crf_bank
01_AE.TH.12.C_PreART_38.ON863069	crf_bank
01_AE.TH.13.2543799P000FL_Sa.MG989501	crf_bank
01_AE.TH.13.2544233P000FL_Sa.MG989508	crf_bank
01_AE.TH.13.2548448P000FL_Sa.MG989552	crf_bank
01_AE.TH.13.2549325P000FL_Sa.MG989563	crf_bank
01_AE.TH.13.2549340P000FL_Sa.MG989564	crf_bank
01_AE.TH.13.40700v03_08.OM826776	crf_bank
01_AE.TH.13.40737v0A_01.OM826779	crf_bank
01_AE.TH.13.Pt1_PreART_50.ON902004	crf_bank
01_AE.TH.13.Pt4_PreART_16.ON902093	crf_bank
01_AE.TH.13.Pt5_PreART_24.ON902120	crf_bank
01_AE.TH.13.Pt7_PreART_34.ON902326	crf_bank
01_AE.TH.13.Pt9_PreART_76.ON902503	crf_bank
01_AE.TH.14.2543896P000FL_Sa.MG989503	crf_bank
01_AE.TH.14.2544584P000FL_Sa.MG989511	crf_bank
01_AE.TH.14.2545040P000FL_Sc.MG989514	crf_bank
01_AE.TH.14.2545383P000FL_Sb.MG989519	crf_bank
01_AE.TH.14.2546031P000FL_Sc.MG989524	crf_bank
01_AE.TH.14.2546587P000FL_Sc.MG989529	crf_bank
01_AE.TH.14.2546901P000FL_Se.MG989532	crf_bank
01_AE.TH.14.2547241P000FL_Sa.MG989535	crf_bank
01_AE.TH.14.2547279P000FL_Sk.MG989538	crf_bank
01_AE.TH.14.2548373P000L_Sl.MG989548	crf_bank
01_AE.TH.14.4028P00m.MT121537	crf_bank
01_AE.TH.14.Pt11_PreART_32.ON902533	crf_bank
01_AE.TH.14.Pt12_PreART_06.ON902579	crf_bank
01_AE.TH.14.Pt15_PreART_80.ON902724	crf_bank
01_AE.TH.14.Pt16_PreART_56.ON902772	crf_bank
01_AE.TH.14.Pt17_PreART_29.ON902797	crf_bank
01_AE.TH.14.Pt18_PreART_03.ON902846	crf_bank
01_AE.TH.14.Pt19_PreART_70.ON902959	crf_bank
01_AE.TH.14.Pt20_PreART_09.ON902967	crf_bank
01_AE.TH.15.2543544P000FL_Si.MG989496	crf_bank
01_AE.TH.15.2544154P000FL_Sa.MG989507	crf_bank
01_AE.TH.15.2546574P000FL_Sk.MG989528	crf_bank
01_AE.TH.15.2547188P000FL_Sk.MG989534	crf_bank
01_AE.TH.15.2547268P000FL_Sa.MG989537	crf_bank
01_AE.TH.15.2547424P000FL_Sj.MG989539	crf_bank
01_AE.TH.15.2548105P000FL_Sf.MG989543	crf_bank
01_AE.TH.15.2548247P000FL_Sb.MG989546	crf_bank
01_AE.TH.15.2548522P000FL_Se.MG989554	crf_bank
01_AE.TH.15.2548820P000FL_Sg.MG989558	crf_bank
01_AE.TH.15.2549813P000FL_Sf.MG989568	crf_bank
01_AE.TH.15.Pt21_PreART_01.ON903056	crf_bank
01_AE.TH.16.Pt6_onART_14.ON902244	crf_bank
01_AE.TH.18.D_OnART_02.ON863133	crf_bank
01_AE.TH.18.E_OnART_10.ON863258	crf_bank
01_AE.TH.90.CM240.U54771	crf_bank
01_AE.TH.93.93TH9021.AF164485	crf_bank
01_AE.TH.95.95TNIH022.AB032740	crf_bank
01_AE.TH.95.95TNIH047.AB032741	crf_bank
01_AE.TH.96.96TH_M02138.AY713424	crf_bank
01_AE.TH.96.96TH_NI1046.AY713421	crf_bank
01_AE.TH.96.96TH_NI1149.AY713426	crf_bank
01_AE.TH.97.97TH6_107.AY125894	crf_bank
01_AE.TH.97.97TH_NP1525.AY713420	crf_bank
01_AE.TH.97.97TH_NP1695.AY713419	crf_bank
01_AE.TH.98.98TH_NP1251.AY713422	crf_bank
01_AE.TH.98.98TH_R1166.AY945728	crf_bank
01_AE.TH.99.99TH_C1080.AY945712	crf_bank
01_AE.TH.99.99TH_C2405.AY945718	crf_bank
01_AE.TH.99.99TH_C4460.AY945726	crf_bank
01_AE.TH.99.99TH_NI1052.AY713423	crf_bank
01_AE.TH.99.99TH_R1149.AY945727	crf_bank
01_AE.TH.99.99TH_R3006.AY945731	crf_bank
01_AE.TH.99.99TH_R3265.AY945732	crf_bank
01_AE.TH.99.OUR066I.AY358043	crf_bank
01_AE.TH.99.OUR098I.AY358044	crf_bank
01_AE.TH.99.OUR199I.AY358039	crf_bank
01_AE.TH.99.OUR422I.AY358051	crf_bank
01_AE.US.00.00US_MSC1164.AY444804	crf_bank
01_AE.US.05.306163_FL.JX863920	crf_bank
01_AE.US.98.98US_MSC1120.AY444803	crf_bank
01_AE.US.98.98US_MSC2008.AY444805	crf_bank
01_AE.US.98.98US_MSC3012.AY444806	crf_bank
01_AE.VN.05.VN_016.MT635140	crf_bank
01_AE.VN.08.VN_032.MT635143	crf_bank
01_AE.VN.09.VN_236.MT635158	crf_bank
01_AE.VN.10.VN_606.MT635173	crf_bank
01_AE.VN.11.VN_024.MT635142	crf_bank
01_AE.VN.11.VN_633.MT635174	crf_bank
01_AE.VN.12.VN_219.MT635157	crf_bank
01_AE.VN.12.VN_293.MT635160	crf_bank
01_AE.VN.12.VN_298.MT635161	crf_bank
01_AE.VN.12.VN_300.MT635162	crf_bank
01_AE.VN.12.VN_354.MT635163	crf_bank
01_AE.VN.12.VN_421.MT635166	crf_bank
01_AE.VN.12.VN_446.MT635168	crf_bank
01_AE.VN.13.VN_388.MT635164	crf_bank
01_AE.VN.13.VN_413.MT635165	crf_bank
01_AE.VN.13.VN_425.MT635167	crf_bank
01_AE.VN.13.VN_474.MT635169	crf_bank
01_AE.VN.13.VN_478.MT635170	crf_bank
01_AE.VN.14.DE00114VN001.MT222954	crf_bank
01_AE.VN.14.DE00114VN003.MT222955	crf_bank
01_AE.VN.15.DE00115VN004.MT222956	crf_bank
01_AE.VN.97.97VNAG204.FJ185247	crf_bank
01_AE.VN.97.97VNAG206.FJ185248	crf_bank
01_AE.VN.97.97VNAG207.FJ185249	crf_bank
01_AE.VN.97.97VNAG210.FJ185251	crf_bank
01_AE.VN.97.97VNAG212.FJ185252	crf_bank
01_AE.VN.97.97VNAG218.FJ185255	crf_bank
01_AE.VN.97.97VNHCM314.FJ185241	crf_bank
01_AE.VN.97.97VNHCM319.FJ185242	crf_bank
01_AE.VN.97.97VNHCM345.FJ185244	crf_bank
